date,description,amount_usd,type,balance_usd
2024-01-02,GROCERY STORE,2130.28,debit,7917.53
2024-01-03,SUBSCRIPTION SERVICE,1073.3,debit,723.53
2024-01-03,ONLINE TRANSFER,1503.12,debit,5502.06
2024-01-05,UTILITY BILL,2055.15,debit,4969.63
2024-01-05,PAYROLL DEPOSIT,4220.46,credit,7268.39
2024-01-07,RENT PAYMENT,1784.87,debit,4572.36
2024-01-08,UTILITY BILL,446.15,debit,6732.71
2024-01-11,INSURANCE PREMIUM,1465.91,debit,10235.2
2024-01-13,INSURANCE PREMIUM,249.84,debit,8209.85
2024-01-13,ONLINE TRANSFER,299.61,debit,9245.05
2024-01-14,GROCERY STORE,2456.12,debit,10330.88
2024-01-20,ATM WITHDRAWAL,1478.16,debit,4691.64
2024-01-20,RENT PAYMENT,1051.33,debit,10146.25
2024-01-23,RESTAURANT,962.1,debit,7410.89
2024-01-23,RENT PAYMENT,1221.26,debit,8976.21
2024-01-26,INSURANCE PREMIUM,1650.27,debit,840.75
2024-02-02,ONLINE TRANSFER,1488.8,debit,1477.76
2024-02-02,RENT PAYMENT,536.99,debit,1578.26
2024-02-05,PAYROLL DEPOSIT,4095.29,credit,2925.08
2024-02-08,SUBSCRIPTION SERVICE,2228.69,debit,6580.56
2024-02-10,INSURANCE PREMIUM,1467.17,debit,4344.77
2024-02-11,UTILITY BILL,317.57,debit,3150.51
2024-02-12,SUBSCRIPTION SERVICE,1533.06,debit,10590.24
2024-02-13,ONLINE TRANSFER,2204.41,debit,6968.4
2024-02-20,INSURANCE PREMIUM,517.09,debit,5981.54
2024-02-20,GROCERY STORE,300.24,debit,6432.45
2024-02-23,RESTAURANT,432.73,debit,1437.68
2024-02-24,SUBSCRIPTION SERVICE,529.63,debit,3500.59
2024-02-26,ATM WITHDRAWAL,2481.88,debit,8647.41
2024-03-01,GROCERY STORE,2079.73,debit,11289.7
2024-03-01,UTILITY BILL,1050.15,debit,3437.23
2024-03-03,GROCERY STORE,2107.37,debit,8833.53
2024-03-03,ATM WITHDRAWAL,1200.01,debit,9735.92
2024-03-05,PAYROLL DEPOSIT,4449.48,credit,1174.33
2024-03-06,UTILITY BILL,378.49,debit,6287.08
2024-03-08,GROCERY STORE,1764.19,debit,10454.25
2024-03-11,SUBSCRIPTION SERVICE,1903.47,debit,7587.27
