date,description,amount_usd,type,balance_usd
2024-01-02,SUBSCRIPTION SERVICE,2448.49,debit,4551.19
2024-01-05,PAYROLL DEPOSIT,8948.94,credit,6771.77
2024-01-05,ATM WITHDRAWAL,969.99,debit,6332.14
2024-01-08,RENT PAYMENT,2259.04,debit,8633.84
2024-01-10,ONLINE TRANSFER,773.08,debit,3074.36
2024-01-14,RESTAURANT,2127.53,debit,8189.77
2024-01-14,ATM WITHDRAWAL,1107.12,debit,3061.33
2024-01-17,RESTAURANT,956.8,debit,7907.21
2024-01-19,UTILITY BILL,1339.96,debit,2526.59
2024-01-19,SUBSCRIPTION SERVICE,1515.07,debit,5592.05
2024-01-21,INSURANCE PREMIUM,2260.0,debit,10545.77
2024-01-21,GROCERY STORE,1558.79,debit,10225.52
2024-01-25,ONLINE TRANSFER,1400.02,debit,5222.12
2024-01-27,RESTAURANT,1680.67,debit,9334.89
2024-02-04,RENT PAYMENT,1612.86,debit,6678.03
2024-02-05,PAYROLL DEPOSIT,8864.5,credit,2465.63
2024-02-07,ATM WITHDRAWAL,409.53,debit,2830.62
2024-02-08,RENT PAYMENT,296.18,debit,9863.94
2024-02-12,GROCERY STORE,412.95,debit,11223.59
2024-02-14,INSURANCE PREMIUM,2186.79,debit,6315.26
2024-02-16,INSURANCE PREMIUM,129.68,debit,726.91
2024-02-18,INSURANCE PREMIUM,1816.62,debit,8072.55
2024-02-19,SUBSCRIPTION SERVICE,1265.05,debit,2340.75
2024-02-22,ATM WITHDRAWAL,192.09,debit,11729.76
2024-02-24,ONLINE TRANSFER,465.71,debit,7082.9
2024-02-24,SUBSCRIPTION SERVICE,1020.04,debit,552.09
2024-03-04,INSURANCE PREMIUM,1514.63,debit,760.63
2024-03-04,RESTAURANT,74.96,debit,691.53
2024-03-05,RESTAURANT,1326.97,debit,10909.38
2024-03-05,PAYROLL DEPOSIT,8481.25,credit,11290.67
2024-03-09,INSURANCE PREMIUM,1988.27,debit,11864.46
2024-03-09,RESTAURANT,2167.15,debit,4462.36
2024-03-09,INSURANCE PREMIUM,2491.15,debit,2080.63
2024-03-12,RESTAURANT,1400.84,debit,4290.91
2024-03-15,ONLINE TRANSFER,954.99,debit,11407.43
2024-03-16,ONLINE TRANSFER,1572.5,debit,704.27
2024-03-17,RESTAURANT,2205.56,debit,6831.15
2024-03-19,UTILITY BILL,2497.4,debit,3883.45
2024-03-23,ATM WITHDRAWAL,1389.86,debit,9187.8
2024-03-25,GROCERY STORE,1577.32,debit,3956.25
2024-03-27,RENT PAYMENT,1724.58,debit,8661.26
2024-04-01,RESTAURANT,2281.83,debit,3245.6
2024-04-04,SUBSCRIPTION SERVICE,1300.64,debit,11353.85
2024-04-05,PAYROLL DEPOSIT,8984.04,credit,12170.71
2024-04-08,GROCERY STORE,1993.9,debit,8612.85
2024-04-08,UTILITY BILL,774.71,debit,6151.71
2024-04-10,ONLINE TRANSFER,2027.24,debit,1310.05
2024-04-11,RESTAURANT,514.27,debit,6206.0
2024-04-12,RENT PAYMENT,1515.19,debit,7924.33
2024-04-14,ONLINE TRANSFER,880.71,debit,9166.08
2024-04-25,UTILITY BILL,910.11,debit,6429.57
2024-05-01,RESTAURANT,1495.19,debit,9999.82
2024-05-02,GROCERY STORE,1155.48,debit,11021.11
2024-05-03,GROCERY STORE,1632.91,debit,9729.11
2024-05-05,PAYROLL DEPOSIT,8996.28,credit,5305.92
2024-05-06,ONLINE TRANSFER,1189.97,debit,1472.15
2024-05-06,ATM WITHDRAWAL,491.47,debit,9123.89
2024-05-09,RESTAURANT,1325.38,debit,2028.1
2024-05-09,SUBSCRIPTION SERVICE,1992.66,debit,10278.39
2024-05-12,ATM WITHDRAWAL,1915.91,debit,1571.26
2024-05-16,SUBSCRIPTION SERVICE,1280.74,debit,5643.23
2024-05-20,INSURANCE PREMIUM,188.55,debit,2578.78
2024-05-21,INSURANCE PREMIUM,2149.4,debit,2903.25
2024-05-22,ATM WITHDRAWAL,848.44,debit,897.51
2024-05-25,INSURANCE PREMIUM,1788.19,debit,8001.57
2024-06-03,UTILITY BILL,1496.76,debit,4025.6
2024-06-05,PAYROLL DEPOSIT,8588.55,credit,4134.52
2024-06-05,INSURANCE PREMIUM,1051.04,debit,1240.49
2024-06-05,SUBSCRIPTION SERVICE,1709.35,debit,9062.67
2024-06-09,RESTAURANT,1053.11,debit,6775.29
2024-06-10,UTILITY BILL,1120.16,debit,2362.58
2024-06-13,SUBSCRIPTION SERVICE,523.36,debit,9268.44
2024-06-14,RESTAURANT,2264.21,debit,8283.88
2024-06-16,UTILITY BILL,665.87,debit,10992.74
2024-06-18,RENT PAYMENT,831.96,debit,8280.93
2024-06-19,GROCERY STORE,218.46,debit,8201.54
2024-06-20,RENT PAYMENT,2402.63,debit,3540.91
2024-06-21,GROCERY STORE,172.28,debit,8876.71
2024-06-24,ONLINE TRANSFER,1280.6,debit,9347.45
2024-07-02,SUBSCRIPTION SERVICE,1204.4,debit,4897.89
2024-07-02,UTILITY BILL,2217.15,debit,5694.6
2024-07-05,PAYROLL DEPOSIT,9014.47,credit,10166.86
2024-07-06,RESTAURANT,1520.54,debit,4654.36
2024-07-06,RENT PAYMENT,1057.01,debit,4594.89
2024-07-11,GROCERY STORE,1953.3,debit,6614.58
2024-07-13,ONLINE TRANSFER,865.8,debit,9986.82
2024-07-15,ATM WITHDRAWAL,836.5,debit,5092.07
2024-07-18,SUBSCRIPTION SERVICE,1909.53,debit,3755.88
2024-07-21,RESTAURANT,2284.45,debit,4828.9
2024-07-21,GROCERY STORE,601.22,debit,4006.94
2024-07-23,ATM WITHDRAWAL,983.46,debit,5724.17
2024-07-24,INSURANCE PREMIUM,2411.0,debit,2579.65
2024-07-24,ONLINE TRANSFER,20.37,debit,3080.73
2024-07-24,RENT PAYMENT,1126.35,debit,3368.17
2024-08-02,SUBSCRIPTION SERVICE,2166.7,debit,4617.59
2024-08-05,PAYROLL DEPOSIT,8470.84,credit,14147.43
2024-08-08,RESTAURANT,1533.63,debit,11752.0
2024-08-10,UTILITY BILL,2131.2,debit,4561.62
2024-08-11,RENT PAYMENT,2090.36,debit,1218.02
2024-08-13,GROCERY STORE,2142.97,debit,3513.04
2024-08-18,RESTAURANT,1288.38,debit,4308.36
2024-08-18,SUBSCRIPTION SERVICE,975.02,debit,8449.19
2024-08-19,RENT PAYMENT,2168.05,debit,6473.87
2024-08-21,GROCERY STORE,842.6,debit,10682.56
2024-08-26,GROCERY STORE,188.79,debit,6965.24
2024-09-03,SUBSCRIPTION SERVICE,276.93,debit,4535.96
2024-09-05,PAYROLL DEPOSIT,8809.05,credit,4266.81
2024-09-08,SUBSCRIPTION SERVICE,499.95,debit,9493.56
2024-09-08,GROCERY STORE,767.83,debit,5379.58
2024-09-09,INSURANCE PREMIUM,1762.47,debit,10733.6
2024-09-10,SUBSCRIPTION SERVICE,2248.5,debit,3260.71
2024-09-11,RENT PAYMENT,1229.35,debit,4034.44
2024-09-14,RESTAURANT,81.14,debit,9964.15
2024-09-14,RENT PAYMENT,2011.75,debit,1197.91
2024-09-17,ONLINE TRANSFER,2053.92,debit,6659.6
2024-09-18,RESTAURANT,2223.18,debit,10168.1
2024-09-20,ATM WITHDRAWAL,790.62,debit,10537.77
2024-09-22,GROCERY STORE,1357.37,debit,5690.86
2024-10-05,PAYROLL DEPOSIT,8677.13,credit,5779.28
2024-10-06,RENT PAYMENT,2340.57,debit,1373.96
2024-10-06,UTILITY BILL,1072.01,debit,4073.22
2024-10-07,UTILITY BILL,1006.55,debit,5277.0
2024-10-08,SUBSCRIPTION SERVICE,509.77,debit,3855.28
2024-10-10,UTILITY BILL,1856.57,debit,2933.72
2024-10-18,SUBSCRIPTION SERVICE,274.2,debit,10184.18
2024-10-19,INSURANCE PREMIUM,1209.21,debit,11109.14
2024-10-21,RESTAURANT,2266.39,debit,7045.4
2024-10-24,RENT PAYMENT,466.79,debit,5841.09
2024-10-24,RENT PAYMENT,332.38,debit,6181.4
2024-10-24,SUBSCRIPTION SERVICE,2114.97,debit,3197.29
2024-10-25,INSURANCE PREMIUM,1111.1,debit,11849.37
2024-10-26,INSURANCE PREMIUM,1550.98,debit,6773.71
2024-10-27,UTILITY BILL,2100.46,debit,5142.06
2024-11-02,ATM WITHDRAWAL,2491.54,debit,7373.04
2024-11-05,PAYROLL DEPOSIT,8292.41,credit,4747.38
2024-11-10,SUBSCRIPTION SERVICE,613.16,debit,4422.86
2024-11-10,RENT PAYMENT,2489.16,debit,6000.82
2024-11-14,RESTAURANT,744.94,debit,1307.09
2024-11-16,SUBSCRIPTION SERVICE,1532.02,debit,4340.8
2024-11-16,RENT PAYMENT,2372.61,debit,6909.77
2024-11-17,ATM WITHDRAWAL,228.93,debit,1558.91
2024-11-19,GROCERY STORE,1138.35,debit,799.11
2024-11-21,SUBSCRIPTION SERVICE,1190.94,debit,5415.54
2024-11-22,ATM WITHDRAWAL,1304.38,debit,2635.44
2024-11-22,UTILITY BILL,2410.9,debit,4477.41
2024-11-23,ATM WITHDRAWAL,1735.8,debit,2711.24
2024-11-25,GROCERY STORE,2453.09,debit,797.77
2024-12-02,RESTAURANT,2403.27,debit,3315.51
2024-12-05,PAYROLL DEPOSIT,8789.91,credit,3763.86
2024-12-05,ATM WITHDRAWAL,819.54,debit,593.35
2024-12-08,RESTAURANT,261.03,debit,10249.62
2024-12-10,RENT PAYMENT,2042.07,debit,1518.28
2024-12-14,UTILITY BILL,418.03,debit,11401.35
2024-12-15,INSURANCE PREMIUM,1138.86,debit,9346.56
2024-12-22,RESTAURANT,1012.61,debit,3903.85
2024-12-24,UTILITY BILL,744.74,debit,7270.77
2024-12-25,ONLINE TRANSFER,795.53,debit,6865.67
