date,description,amount_usd,type,balance_usd
2024-01-01,UTILITY BILL,716.97,debit,856.14
2024-01-01,ONLINE TRANSFER,131.93,debit,2208.76
2024-01-02,RENT PAYMENT,1819.49,debit,8677.74
2024-01-02,SUBSCRIPTION SERVICE,1487.52,debit,6755.9
2024-01-05,PAYROLL DEPOSIT,8734.24,credit,1233.22
2024-01-05,ONLINE TRANSFER,2273.76,debit,7867.77
2024-01-06,GROCERY STORE,1519.24,debit,10656.7
2024-01-06,RESTAURANT,1819.33,debit,9617.55
2024-01-14,RESTAURANT,1708.67,debit,7804.51
2024-01-22,ONLINE TRANSFER,1666.43,debit,3285.3
2024-01-22,ONLINE TRANSFER,2292.71,debit,10724.72
2024-01-26,SUBSCRIPTION SERVICE,1289.74,debit,3550.25
2024-02-03,ATM WITHDRAWAL,1269.76,debit,5694.07
2024-02-05,PAYROLL DEPOSIT,8742.14,credit,6979.18
2024-02-09,RESTAURANT,249.97,debit,6158.99
2024-02-14,INSURANCE PREMIUM,2030.71,debit,8311.75
2024-02-17,GROCERY STORE,2013.97,debit,7018.91
2024-02-19,INSURANCE PREMIUM,872.63,debit,5826.39
2024-02-19,RENT PAYMENT,2156.56,debit,2370.19
2024-02-20,RENT PAYMENT,1054.19,debit,9323.31
2024-02-21,ONLINE TRANSFER,1265.63,debit,11429.03
2024-02-22,UTILITY BILL,1265.58,debit,8011.15
2024-02-26,ONLINE TRANSFER,1945.23,debit,10515.85
2024-03-01,GROCERY STORE,2467.79,debit,5575.88
2024-03-02,RENT PAYMENT,1286.75,debit,5924.86
2024-03-02,SUBSCRIPTION SERVICE,1099.17,debit,11023.44
2024-03-05,PAYROLL DEPOSIT,8084.67,credit,11485.8
2024-03-05,GROCERY STORE,1571.91,debit,4104.17
2024-03-09,RENT PAYMENT,338.09,debit,4202.19
2024-03-11,RENT PAYMENT,800.13,debit,3897.42
2024-03-11,ATM WITHDRAWAL,309.55,debit,10838.92
2024-03-14,INSURANCE PREMIUM,1397.5,debit,7448.04
2024-03-18,SUBSCRIPTION SERVICE,216.0,debit,8148.95
2024-03-19,GROCERY STORE,1340.05,debit,6713.86
2024-03-19,UTILITY BILL,941.12,debit,9125.75
2024-03-20,RENT PAYMENT,1392.78,debit,4307.87
2024-03-22,RESTAURANT,644.38,debit,4703.52
2024-03-24,SUBSCRIPTION SERVICE,762.09,debit,8627.85
2024-03-27,UTILITY BILL,1716.36,debit,9947.84
2024-04-03,ONLINE TRANSFER,901.57,debit,7295.13
2024-04-05,PAYROLL DEPOSIT,8078.43,credit,2797.52
2024-04-07,GROCERY STORE,2017.07,debit,1438.62
2024-04-08,UTILITY BILL,657.17,debit,11478.99
2024-04-12,SUBSCRIPTION SERVICE,2106.66,debit,8686.53
2024-04-12,RESTAURANT,29.41,debit,9918.94
2024-04-14,RESTAURANT,191.44,debit,9650.51
2024-04-16,SUBSCRIPTION SERVICE,793.48,debit,11213.09
2024-04-21,INSURANCE PREMIUM,2329.81,debit,4554.06
2024-05-05,ONLINE TRANSFER,581.19,debit,3967.57
2024-05-05,PAYROLL DEPOSIT,8676.95,credit,2353.59
2024-05-05,RENT PAYMENT,1563.11,debit,10183.0
2024-05-07,GROCERY STORE,1870.85,debit,9605.97
2024-05-08,ATM WITHDRAWAL,582.42,debit,9914.91
2024-05-15,ATM WITHDRAWAL,2038.03,debit,8744.82
2024-05-17,UTILITY BILL,1839.48,debit,6520.17
2024-05-21,SUBSCRIPTION SERVICE,90.66,debit,789.23
2024-05-21,SUBSCRIPTION SERVICE,923.46,debit,8681.55
2024-05-21,ONLINE TRANSFER,1968.02,debit,11227.62
2024-06-01,ATM WITHDRAWAL,674.82,debit,971.01
2024-06-05,SUBSCRIPTION SERVICE,654.48,debit,5778.99
2024-06-05,PAYROLL DEPOSIT,8041.59,credit,14056.28
2024-06-09,ONLINE TRANSFER,1160.38,debit,8815.16
2024-06-10,RENT PAYMENT,1237.79,debit,3817.36
2024-06-13,UTILITY BILL,2451.79,debit,8916.11
2024-06-15,RENT PAYMENT,1257.87,debit,3433.96
2024-06-17,SUBSCRIPTION SERVICE,1104.02,debit,11060.58
2024-06-18,RENT PAYMENT,306.7,debit,7085.91
2024-06-21,RESTAURANT,1997.94,debit,6889.12
2024-06-22,UTILITY BILL,417.24,debit,2641.49
2024-06-22,RESTAURANT,1018.67,debit,5228.0
2024-06-24,GROCERY STORE,2382.39,debit,2922.55
2024-06-24,GROCERY STORE,2371.11,debit,11953.72
2024-06-27,SUBSCRIPTION SERVICE,54.17,debit,5680.39
2024-07-03,ATM WITHDRAWAL,1616.74,debit,11980.45
2024-07-05,PAYROLL DEPOSIT,8800.87,credit,11672.48
2024-07-09,RESTAURANT,2149.62,debit,6289.62
2024-07-12,RENT PAYMENT,1212.29,debit,9586.57
2024-07-16,GROCERY STORE,29.25,debit,11620.26
2024-07-22,ATM WITHDRAWAL,2471.57,debit,1586.76
2024-07-23,INSURANCE PREMIUM,100.5,debit,3641.39
2024-07-23,INSURANCE PREMIUM,1433.4,debit,8115.96
2024-07-24,RENT PAYMENT,317.96,debit,11621.12
2024-07-24,RESTAURANT,1504.77,debit,2771.96
2024-07-25,GROCERY STORE,2267.65,debit,8802.11
2024-07-27,SUBSCRIPTION SERVICE,351.48,debit,3506.42
2024-07-27,INSURANCE PREMIUM,2406.64,debit,2101.37
2024-07-27,GROCERY STORE,2252.33,debit,5110.2
2024-07-27,RENT PAYMENT,319.89,debit,10033.43
2024-08-02,ATM WITHDRAWAL,1440.34,debit,3467.1
2024-08-05,PAYROLL DEPOSIT,8133.86,credit,10148.05
2024-08-07,ONLINE TRANSFER,1454.13,debit,11996.16
2024-08-11,RESTAURANT,2496.23,debit,6492.09
2024-08-15,RESTAURANT,1179.85,debit,8345.41
2024-08-18,ATM WITHDRAWAL,1456.87,debit,11145.74
2024-08-22,RENT PAYMENT,313.51,debit,10538.56
2024-08-23,ATM WITHDRAWAL,263.23,debit,11619.02
2024-08-23,SUBSCRIPTION SERVICE,1897.71,debit,718.24
2024-08-25,RESTAURANT,1977.43,debit,3402.83
2024-08-25,ONLINE TRANSFER,2453.99,debit,9680.88
2024-08-27,UTILITY BILL,226.25,debit,5223.85
2024-08-27,UTILITY BILL,298.91,debit,6489.83
2024-09-04,INSURANCE PREMIUM,198.32,debit,10084.67
2024-09-04,ONLINE TRANSFER,464.31,debit,9546.16
2024-09-05,PAYROLL DEPOSIT,8025.6,credit,4454.42
2024-09-05,RENT PAYMENT,496.13,debit,7489.76
2024-09-05,ATM WITHDRAWAL,1428.53,debit,4650.12
2024-09-06,INSURANCE PREMIUM,1308.77,debit,5976.77
2024-09-14,UTILITY BILL,537.26,debit,10311.49
2024-09-23,RESTAURANT,2275.78,debit,5029.59
2024-09-23,UTILITY BILL,1470.36,debit,3030.68
2024-09-25,ONLINE TRANSFER,241.46,debit,3453.64
2024-09-26,GROCERY STORE,2400.63,debit,8002.11
2024-09-27,SUBSCRIPTION SERVICE,459.62,debit,5097.11
2024-10-02,GROCERY STORE,235.84,debit,10436.08
2024-10-04,INSURANCE PREMIUM,1165.24,debit,3158.41
2024-10-05,PAYROLL DEPOSIT,7975.08,credit,12359.76
2024-10-05,UTILITY BILL,205.99,debit,3075.35
2024-10-08,UTILITY BILL,869.72,debit,10915.97
2024-10-09,RESTAURANT,1335.18,debit,11104.58
2024-10-10,INSURANCE PREMIUM,1146.39,debit,11293.97
2024-10-11,GROCERY STORE,793.43,debit,7731.67
2024-10-11,ONLINE TRANSFER,2067.29,debit,8596.41
2024-10-15,UTILITY BILL,849.09,debit,6545.43
2024-10-16,RENT PAYMENT,1900.19,debit,3507.81
2024-10-18,UTILITY BILL,921.03,debit,817.04
2024-10-19,INSURANCE PREMIUM,261.18,debit,11238.35
2024-10-20,GROCERY STORE,783.39,debit,2609.43
2024-10-22,RESTAURANT,1043.49,debit,3387.81
2024-11-03,SUBSCRIPTION SERVICE,1696.3,debit,2864.42
2024-11-04,ATM WITHDRAWAL,1027.63,debit,6845.98
2024-11-04,SUBSCRIPTION SERVICE,276.82,debit,10208.88
2024-11-05,PAYROLL DEPOSIT,8343.2,credit,14689.32
2024-11-07,RESTAURANT,409.25,debit,10579.1
2024-11-08,ATM WITHDRAWAL,917.54,debit,8343.28
2024-11-09,RENT PAYMENT,1830.79,debit,10275.55
2024-11-09,INSURANCE PREMIUM,1427.68,debit,5546.56
2024-11-10,RENT PAYMENT,2241.6,debit,10978.47
2024-11-11,RESTAURANT,1156.01,debit,5472.01
2024-11-16,RESTAURANT,1693.07,debit,1157.05
2024-11-16,GROCERY STORE,2046.55,debit,7241.74
2024-11-20,UTILITY BILL,131.74,debit,2584.09
2024-11-23,ATM WITHDRAWAL,784.47,debit,7613.63
2024-11-25,SUBSCRIPTION SERVICE,37.64,debit,1829.76
2024-12-02,ONLINE TRANSFER,2211.6,debit,1087.19
2024-12-02,RESTAURANT,2482.29,debit,5223.3
2024-12-03,UTILITY BILL,106.63,debit,9196.16
2024-12-05,PAYROLL DEPOSIT,8413.57,credit,9971.91
2024-12-06,ATM WITHDRAWAL,896.89,debit,7726.11
2024-12-08,INSURANCE PREMIUM,517.9,debit,6135.03
2024-12-10,ONLINE TRANSFER,2431.67,debit,9062.69
2024-12-11,ONLINE TRANSFER,1843.67,debit,6459.79
2024-12-14,ONLINE TRANSFER,2076.61,debit,11412.27
2024-12-16,ATM WITHDRAWAL,1690.4,debit,5954.25
2024-12-20,SUBSCRIPTION SERVICE,1651.48,debit,10677.74
2024-12-21,ATM WITHDRAWAL,1262.37,debit,11842.57
2024-12-25,ATM WITHDRAWAL,1494.43,debit,9797.47
2024-12-25,SUBSCRIPTION SERVICE,2157.74,debit,9905.37
