date,description,amount_usd,type,balance_usd
2024-01-01,ATM WITHDRAWAL,1764.52,debit,3896.54
2024-01-01,GROCERY STORE,1379.38,debit,10969.1
2024-01-05,PAYROLL DEPOSIT,9451.22,credit,2596.18
2024-01-05,UTILITY BILL,2269.06,debit,10105.17
2024-01-14,SUBSCRIPTION SERVICE,839.9,debit,531.49
2024-01-15,SUBSCRIPTION SERVICE,512.64,debit,2797.12
2024-01-20,SUBSCRIPTION SERVICE,389.88,debit,1535.95
2024-01-21,ONLINE TRANSFER,2082.12,debit,11690.88
2024-01-24,ONLINE TRANSFER,1617.96,debit,5752.64
2024-01-24,UTILITY BILL,1814.44,debit,1664.84
2024-02-05,PAYROLL DEPOSIT,10295.9,credit,4697.75
2024-02-08,GROCERY STORE,43.99,debit,2091.54
2024-02-10,ONLINE TRANSFER,913.33,debit,8282.82
2024-02-13,INSURANCE PREMIUM,1851.58,debit,1592.48
2024-02-19,SUBSCRIPTION SERVICE,694.15,debit,4935.73
2024-02-20,RENT PAYMENT,835.08,debit,10787.07
2024-02-22,UTILITY BILL,2036.68,debit,10552.62
2024-02-25,ATM WITHDRAWAL,473.52,debit,5108.94
2024-02-27,ONLINE TRANSFER,2198.62,debit,1568.94
2024-03-02,UTILITY BILL,348.63,debit,8853.73
2024-03-03,RENT PAYMENT,1536.08,debit,9460.39
2024-03-04,ATM WITHDRAWAL,1307.37,debit,8414.78
2024-03-05,PAYROLL DEPOSIT,10171.47,credit,12198.59
2024-03-08,ATM WITHDRAWAL,50.65,debit,10485.82
2024-03-15,RESTAURANT,2445.18,debit,8203.21
2024-03-16,GROCERY STORE,2159.19,debit,10619.43
2024-03-20,RENT PAYMENT,1218.04,debit,6113.41
2024-03-22,SUBSCRIPTION SERVICE,2009.62,debit,8301.52
2024-03-22,INSURANCE PREMIUM,1112.91,debit,1228.36
2024-03-26,RENT PAYMENT,277.21,debit,10979.11
2024-04-02,SUBSCRIPTION SERVICE,877.46,debit,8277.4
2024-04-03,UTILITY BILL,1883.55,debit,4187.29
2024-04-04,ATM WITHDRAWAL,2425.96,debit,1079.03
2024-04-05,PAYROLL DEPOSIT,9943.06,credit,7059.87
2024-04-09,RESTAURANT,215.5,debit,5608.17
2024-04-10,SUBSCRIPTION SERVICE,238.29,debit,6232.25
2024-04-14,GROCERY STORE,48.88,debit,11245.27
2024-04-17,ATM WITHDRAWAL,314.39,debit,6219.79
2024-04-22,SUBSCRIPTION SERVICE,2132.64,debit,10498.28
2024-04-23,INSURANCE PREMIUM,388.66,debit,10004.03
2024-04-23,GROCERY STORE,274.56,debit,5241.89
2024-04-26,RESTAURANT,1385.23,debit,4854.33
2024-05-03,ONLINE TRANSFER,1378.27,debit,4799.74
2024-05-05,PAYROLL DEPOSIT,9883.01,credit,1002.38
2024-05-05,RESTAURANT,25.45,debit,4584.1
2024-05-07,SUBSCRIPTION SERVICE,302.78,debit,9232.18
2024-05-11,GROCERY STORE,2045.14,debit,10209.65
2024-05-13,UTILITY BILL,133.53,debit,2387.79
2024-05-14,SUBSCRIPTION SERVICE,1797.31,debit,4677.89
2024-05-18,ATM WITHDRAWAL,1409.17,debit,7627.22
2024-05-24,SUBSCRIPTION SERVICE,2376.88,debit,4678.44
2024-05-25,ONLINE TRANSFER,2227.48,debit,6966.82
2024-06-03,RENT PAYMENT,2410.36,debit,549.88
2024-06-04,ATM WITHDRAWAL,287.26,debit,5266.41
2024-06-05,PAYROLL DEPOSIT,9473.54,credit,11035.99
2024-06-05,RESTAURANT,698.52,debit,11581.33
2024-06-08,ONLINE TRANSFER,1143.06,debit,2033.78
2024-06-08,SUBSCRIPTION SERVICE,2064.89,debit,2691.66
2024-06-09,RENT PAYMENT,276.81,debit,8061.5
2024-06-11,GROCERY STORE,1392.0,debit,5477.32
2024-06-11,SUBSCRIPTION SERVICE,2312.44,debit,9482.44
2024-06-13,ATM WITHDRAWAL,1270.19,debit,4923.62
2024-06-18,RENT PAYMENT,1735.71,debit,2496.98
2024-06-24,UTILITY BILL,1934.92,debit,5680.8
2024-06-25,UTILITY BILL,2326.94,debit,5018.31
2024-06-26,UTILITY BILL,650.64,debit,2753.1
2024-06-27,INSURANCE PREMIUM,1514.26,debit,10694.02
2024-07-01,RENT PAYMENT,1269.66,debit,8484.59
2024-07-01,SUBSCRIPTION SERVICE,1465.36,debit,11340.75
2024-07-03,INSURANCE PREMIUM,1692.12,debit,10779.46
2024-07-05,PAYROLL DEPOSIT,9838.95,credit,12803.04
2024-07-05,ONLINE TRANSFER,1880.46,debit,2350.76
2024-07-08,GROCERY STORE,1732.68,debit,3894.12
2024-07-09,RENT PAYMENT,151.6,debit,1150.95
2024-07-11,RESTAURANT,518.2,debit,7677.93
2024-07-11,GROCERY STORE,1316.37,debit,790.63
2024-07-18,RENT PAYMENT,2453.71,debit,7975.99
2024-07-19,ONLINE TRANSFER,1722.8,debit,11093.71
2024-07-24,ATM WITHDRAWAL,1781.67,debit,9248.91
2024-07-26,ONLINE TRANSFER,2196.14,debit,5357.44
2024-07-27,ONLINE TRANSFER,1714.81,debit,2183.93
2024-08-01,RESTAURANT,1944.84,debit,11589.33
2024-08-03,ONLINE TRANSFER,1133.06,debit,11809.71
2024-08-05,PAYROLL DEPOSIT,10076.07,credit,1452.29
2024-08-06,ATM WITHDRAWAL,2415.27,debit,1118.73
2024-08-06,ONLINE TRANSFER,342.56,debit,7215.84
2024-08-07,ATM WITHDRAWAL,1892.67,debit,6786.07
2024-08-10,INSURANCE PREMIUM,981.14,debit,11502.07
2024-08-12,ONLINE TRANSFER,523.66,debit,10491.77
2024-08-13,SUBSCRIPTION SERVICE,2078.36,debit,10982.09
2024-08-13,RESTAURANT,1861.18,debit,6954.61
2024-08-14,UTILITY BILL,483.7,debit,2498.64
2024-08-17,UTILITY BILL,1547.95,debit,8268.55
2024-08-18,UTILITY BILL,955.45,debit,5427.84
2024-08-18,ONLINE TRANSFER,1738.48,debit,1040.27
2024-08-24,RESTAURANT,1287.09,debit,9663.59
2024-08-26,ONLINE TRANSFER,34.0,debit,5862.81
2024-09-02,ATM WITHDRAWAL,965.8,debit,9656.38
2024-09-03,ONLINE TRANSFER,1236.57,debit,7085.79
