date,description,amount_usd,type,balance_usd
2024-01-04,UTILITY BILL,2197.92,debit,8081.92
2024-01-04,RESTAURANT,37.44,debit,11866.48
2024-01-04,UTILITY BILL,342.16,debit,6337.25
2024-01-05,PAYROLL DEPOSIT,6815.19,credit,13761.89
2024-01-07,SUBSCRIPTION SERVICE,716.29,debit,10878.79
2024-01-16,RESTAURANT,695.29,debit,5475.16
2024-01-22,INSURANCE PREMIUM,170.75,debit,11027.25
2024-01-25,RENT PAYMENT,470.2,debit,9430.76
2024-01-27,RESTAURANT,959.71,debit,6499.41
2024-02-01,RENT PAYMENT,1177.02,debit,7784.11
2024-02-01,INSURANCE PREMIUM,355.89,debit,7862.87
2024-02-04,ATM WITHDRAWAL,2208.64,debit,2173.64
2024-02-05,PAYROLL DEPOSIT,6930.26,credit,11467.82
2024-02-06,ONLINE TRANSFER,2176.48,debit,4061.63
2024-02-09,RESTAURANT,543.88,debit,8282.73
2024-02-13,UTILITY BILL,2128.0,debit,996.97
2024-02-13,INSURANCE PREMIUM,1462.2,debit,10025.9
2024-02-16,INSURANCE PREMIUM,1291.07,debit,1706.5
2024-02-19,SUBSCRIPTION SERVICE,1001.9,debit,3291.2
2024-02-20,SUBSCRIPTION SERVICE,1476.72,debit,7577.98
2024-02-21,GROCERY STORE,1619.72,debit,5908.04
2024-02-21,ONLINE TRANSFER,1944.34,debit,11645.28
2024-02-22,ATM WITHDRAWAL,1745.91,debit,11252.97
2024-02-24,ONLINE TRANSFER,1958.95,debit,4095.28
2024-02-27,ATM WITHDRAWAL,1840.02,debit,11577.21
2024-03-05,SUBSCRIPTION SERVICE,838.07,debit,8158.92
2024-03-05,PAYROLL DEPOSIT,7055.99,credit,4987.33
2024-03-06,SUBSCRIPTION SERVICE,2105.7,debit,8474.37
2024-03-06,SUBSCRIPTION SERVICE,1278.31,debit,3064.14
2024-03-07,ONLINE TRANSFER,1926.11,debit,10048.96
2024-03-07,UTILITY BILL,1729.64,debit,856.41
2024-03-08,INSURANCE PREMIUM,922.41,debit,10333.33
2024-03-13,UTILITY BILL,958.47,debit,6551.85
2024-03-17,RESTAURANT,2303.84,debit,6430.83
2024-03-18,RESTAURANT,2477.64,debit,8287.69
2024-03-20,GROCERY STORE,1165.91,debit,7468.66
2024-03-26,ONLINE TRANSFER,638.72,debit,7167.0
2024-04-05,PAYROLL DEPOSIT,6467.58,credit,7199.99
2024-04-05,RESTAURANT,804.43,debit,793.72
2024-04-06,INSURANCE PREMIUM,1462.47,debit,7446.17
2024-04-08,RESTAURANT,1794.43,debit,6262.07
2024-04-14,GROCERY STORE,1825.55,debit,3078.4
2024-04-15,GROCERY STORE,1239.99,debit,6647.92
2024-04-15,SUBSCRIPTION SERVICE,1174.92,debit,4961.19
2024-04-16,INSURANCE PREMIUM,1467.99,debit,2209.04
2024-04-17,ONLINE TRANSFER,53.86,debit,10898.18
2024-04-18,RENT PAYMENT,2385.76,debit,4329.85
2024-05-01,ONLINE TRANSFER,678.36,debit,11233.5
2024-05-02,RENT PAYMENT,2422.08,debit,3325.17
2024-05-05,PAYROLL DEPOSIT,6946.85,credit,14468.07
2024-05-06,RENT PAYMENT,111.13,debit,5227.34
2024-05-09,SUBSCRIPTION SERVICE,1228.5,debit,3858.22
2024-05-11,ATM WITHDRAWAL,2217.85,debit,7229.34
2024-05-11,ATM WITHDRAWAL,798.63,debit,4463.78
2024-05-12,SUBSCRIPTION SERVICE,643.66,debit,2737.46
2024-05-17,ATM WITHDRAWAL,1417.73,debit,9692.19
2024-05-22,SUBSCRIPTION SERVICE,2467.0,debit,981.87
2024-05-24,ATM WITHDRAWAL,505.01,debit,5773.91
2024-05-25,ONLINE TRANSFER,1493.7,debit,1116.75
2024-05-25,ATM WITHDRAWAL,1742.0,debit,8675.75
2024-05-26,INSURANCE PREMIUM,295.67,debit,2341.35
2024-05-27,UTILITY BILL,726.16,debit,5680.64
2024-06-03,ATM WITHDRAWAL,977.78,debit,3757.76
2024-06-03,RESTAURANT,1647.41,debit,7771.68
2024-06-03,ATM WITHDRAWAL,635.86,debit,550.27
2024-06-05,PAYROLL DEPOSIT,6802.04,credit,4489.94
2024-06-07,ONLINE TRANSFER,940.03,debit,4224.18
2024-06-08,GROCERY STORE,2109.99,debit,4236.67
2024-06-10,SUBSCRIPTION SERVICE,1842.66,debit,1688.73
2024-06-16,RENT PAYMENT,438.77,debit,2218.41
2024-06-26,ATM WITHDRAWAL,1459.97,debit,1087.13
2024-06-27,RENT PAYMENT,1204.47,debit,8922.82
