date,description,amount_usd,type,balance_usd
2024-01-03,RENT PAYMENT,1764.06,debit,10489.62
2024-01-05,PAYROLL DEPOSIT,9356.27,credit,7850.5
2024-01-07,SUBSCRIPTION SERVICE,1970.65,debit,695.06
2024-01-07,UTILITY BILL,2184.76,debit,6630.22
2024-01-07,SUBSCRIPTION SERVICE,435.31,debit,5056.8
2024-01-11,UTILITY BILL,2336.78,debit,713.93
2024-01-21,SUBSCRIPTION SERVICE,2142.92,debit,6547.65
2024-01-22,RENT PAYMENT,79.96,debit,3014.42
2024-01-23,ONLINE TRANSFER,308.54,debit,4456.8
2024-01-26,UTILITY BILL,44.02,debit,4457.43
2024-02-02,RENT PAYMENT,407.13,debit,6747.01
2024-02-04,GROCERY STORE,206.4,debit,8118.8
2024-02-05,PAYROLL DEPOSIT,10100.21,credit,1972.22
2024-02-06,UTILITY BILL,2084.65,debit,4084.97
2024-02-08,ATM WITHDRAWAL,179.8,debit,5065.01
2024-02-17,RESTAURANT,2043.58,debit,912.33
2024-02-19,INSURANCE PREMIUM,1548.0,debit,1447.2
2024-02-21,SUBSCRIPTION SERVICE,1248.42,debit,10786.56
2024-02-21,RENT PAYMENT,110.09,debit,9044.4
2024-02-25,UTILITY BILL,2166.63,debit,9189.02
2024-02-27,GROCERY STORE,458.03,debit,10281.57
2024-03-01,RENT PAYMENT,1064.61,debit,4242.77
2024-03-03,ONLINE TRANSFER,957.11,debit,1874.45
2024-03-05,PAYROLL DEPOSIT,9581.15,credit,10745.51
2024-03-14,INSURANCE PREMIUM,1844.84,debit,10804.53
2024-03-15,UTILITY BILL,108.45,debit,10195.45
2024-03-15,RESTAURANT,108.03,debit,10785.2
2024-03-15,UTILITY BILL,2029.14,debit,11397.51
2024-03-19,ATM WITHDRAWAL,87.51,debit,11479.26
2024-03-20,ATM WITHDRAWAL,587.15,debit,11546.8
2024-04-03,GROCERY STORE,1487.37,debit,5596.0
2024-04-05,GROCERY STORE,571.3,debit,4914.75
2024-04-05,PAYROLL DEPOSIT,9324.77,credit,4098.74
2024-04-07,RENT PAYMENT,747.67,debit,501.39
2024-04-12,UTILITY BILL,1478.35,debit,10546.32
2024-04-17,GROCERY STORE,2165.07,debit,11243.62
2024-04-18,ATM WITHDRAWAL,1211.68,debit,2807.05
2024-04-18,ONLINE TRANSFER,251.54,debit,10188.49
2024-04-20,GROCERY STORE,1762.38,debit,818.14
2024-04-21,INSURANCE PREMIUM,856.84,debit,3219.77
2024-04-25,ATM WITHDRAWAL,1426.32,debit,8323.16
2024-05-05,PAYROLL DEPOSIT,9763.91,credit,2427.6
2024-05-05,UTILITY BILL,684.62,debit,4671.31
2024-05-07,ONLINE TRANSFER,1087.7,debit,3273.43
2024-05-07,GROCERY STORE,1026.8,debit,681.97
2024-05-14,GROCERY STORE,368.3,debit,2445.6
2024-05-15,RENT PAYMENT,165.46,debit,6273.05
2024-05-16,INSURANCE PREMIUM,1230.59,debit,1003.69
2024-05-16,UTILITY BILL,950.75,debit,4502.66
2024-05-17,GROCERY STORE,578.37,debit,3440.26
2024-05-22,ONLINE TRANSFER,983.51,debit,9043.23
2024-05-24,ATM WITHDRAWAL,2170.77,debit,4648.68
2024-06-01,SUBSCRIPTION SERVICE,219.23,debit,843.58
2024-06-02,INSURANCE PREMIUM,877.53,debit,6686.21
2024-06-04,RENT PAYMENT,2222.89,debit,3456.55
2024-06-05,PAYROLL DEPOSIT,9803.94,credit,12923.01
2024-06-05,SUBSCRIPTION SERVICE,1965.77,debit,2393.68
2024-06-09,RENT PAYMENT,1661.45,debit,8246.85
2024-06-11,RESTAURANT,970.96,debit,8246.7
2024-06-19,RESTAURANT,725.08,debit,4830.84
2024-06-20,SUBSCRIPTION SERVICE,1592.31,debit,9727.76
2024-06-20,ONLINE TRANSFER,1015.08,debit,10682.07
2024-06-24,RENT PAYMENT,986.91,debit,10891.48
2024-06-25,ONLINE TRANSFER,239.2,debit,3851.91
2024-06-26,ONLINE TRANSFER,2479.18,debit,8933.74
2024-06-27,GROCERY STORE,1151.96,debit,4450.78
2024-07-01,ATM WITHDRAWAL,776.43,debit,2751.69
2024-07-03,RENT PAYMENT,667.46,debit,1151.89
2024-07-05,PAYROLL DEPOSIT,9365.72,credit,14493.53
2024-07-06,ONLINE TRANSFER,1116.04,debit,2234.99
2024-07-09,RESTAURANT,1057.49,debit,5556.44
2024-07-10,ATM WITHDRAWAL,900.72,debit,11507.7
2024-07-11,UTILITY BILL,2161.8,debit,4678.27
2024-07-11,UTILITY BILL,1721.85,debit,7193.5
2024-07-12,GROCERY STORE,143.36,debit,7723.49
2024-07-12,RENT PAYMENT,2032.4,debit,8411.17
2024-07-14,ONLINE TRANSFER,523.76,debit,7735.66
2024-07-17,ATM WITHDRAWAL,1073.32,debit,11049.98
2024-07-22,GROCERY STORE,2450.56,debit,8767.34
2024-07-23,GROCERY STORE,2385.76,debit,7517.3
2024-07-25,SUBSCRIPTION SERVICE,2345.4,debit,4376.83
2024-07-26,UTILITY BILL,675.01,debit,5451.97
2024-08-01,GROCERY STORE,2270.55,debit,4483.92
2024-08-02,SUBSCRIPTION SERVICE,1542.87,debit,4536.45
2024-08-05,PAYROLL DEPOSIT,9336.28,credit,1829.48
2024-08-07,SUBSCRIPTION SERVICE,1064.73,debit,11930.48
2024-08-08,ATM WITHDRAWAL,1096.49,debit,1754.52
2024-08-09,GROCERY STORE,435.17,debit,4674.56
2024-08-12,INSURANCE PREMIUM,1553.72,debit,10893.76
2024-08-13,ONLINE TRANSFER,1395.08,debit,6867.66
